y,delta,z,alpha,mu1,mu2,mu3
-2.0,-2.0,0.3498353,0.40094826,0.04177588,0.5891318,0.36909235
-2.0,-1.96,0.35239857,0.402582,0.041335195,0.5875889,0.37107587
-2.0,-1.92,0.35494342,0.40420637,0.040901545,0.58605,0.3730485
-2.0,-1.88,0.35747018,0.40582153,0.040474687,0.5845149,0.3750104
-2.0,-1.84,0.35997924,0.40742767,0.04005449,0.58298373,0.37696183
-2.0,-1.8,0.36247104,0.4090249,0.039640754,0.58145636,0.37890285
-2.0,-1.76,0.3649459,0.41061336,0.039233383,0.5799329,0.38083372
-2.0,-1.72,0.36740428,0.4121933,0.038832176,0.5784131,0.38275462
-2.0,-1.68,0.36984652,0.4137649,0.038436957,0.57689726,0.38466582
-2.0,-1.64,0.372273,0.41532815,0.038047638,0.57538503,0.3865673
-2.0,-1.6,0.37468424,0.41688353,0.037664026,0.57387644,0.3884596
-2.0,-1.56,0.37708044,0.41843092,0.037285987,0.5723714,0.39034256
-2.0,-1.52,0.37946203,0.41997063,0.036913406,0.57087,0.39221656
-2.0,-1.48,0.38182947,0.4215029,0.036546122,0.569372,0.3940819
-2.0,-1.44,0.3841831,0.42302778,0.036184013,0.56787735,0.39593863
-2.0,-1.4,0.38652316,0.42454547,0.03582699,0.56638604,0.39778695
-2.0,-1.36,0.38885012,0.42605615,0.035474885,0.564898,0.3996271
-2.0,-1.32,0.39116433,0.42755997,0.035127576,0.56341314,0.40145925
-2.0,-1.28,0.3934661,0.4290572,0.03478496,0.5619314,0.4032837
-2.0,-1.24,0.3957557,0.4305477,0.03444695,0.56045264,0.40510035
-2.0,-1.2,0.39803347,0.43203205,0.034113426,0.55897695,0.4069097
-2.0,-1.16,0.40029973,0.43350998,0.033784285,0.5575041,0.40871164
-2.0,-1.12,0.40255478,0.43498182,0.033459432,0.5560341,0.41050646
-2.0,-1.08,0.4047988,0.43644765,0.033138774,0.554567,0.41229427
-2.0,-1.04,0.4070322,0.43790764,0.03282219,0.5531025,0.4140753
-2.0,-1.0,0.40925512,0.43936187,0.032509632,0.55164075,0.41584957
-2.0,-0.96,0.41146776,0.44081047,0.03220102,0.5501818,0.41761723
-2.0,-0.92,0.41367048,0.44225344,0.031896245,0.54872537,0.41937837
-2.0,-0.88,0.41586348,0.44369113,0.031595238,0.54727143,0.42113334
-2.0,-0.84,0.41804683,0.44512334,0.031297944,0.54582024,0.42288187
-2.0,-0.8,0.4202208,0.44655028,0.031004261,0.5443715,0.42462426
-2.0,-0.76,0.42238563,0.44797206,0.030714154,0.54292524,0.4263606
-2.0,-0.72,0.42454138,0.44938868,0.030427543,0.5414815,0.428091
-2.0,-0.68,0.42668822,0.45080018,0.03014436,0.5400403,0.42981532
-2.0,-0.64,0.42882633,0.45220673,0.029864548,0.5386016,0.43153387
-2.0,-0.6,0.4309558,0.45360827,0.029588072,0.5371654,0.43324652
-2.0,-0.56,0.4330768,0.45500487,0.029314835,0.5357317,0.43495345
-2.0,-0.52,0.4351895,0.45639664,0.029044816,0.5343005,0.4366547
-2.0,-0.48,0.43729383,0.4577835,0.028777974,0.53287184,0.43835017
-2.0,-0.44,0.43939003,0.4591656,0.028514205,0.53144574,0.44004005
-2.0,-0.4,0.44147813,0.4605428,0.028253525,0.53002226,0.44172424
-2.0,-0.36,0.44355825,0.46191525,0.027995856,0.52860135,0.44340277
-2.0,-0.32,0.44563046,0.463283,0.027741158,0.52718306,0.4450758
-2.0,-0.28,0.44769475,0.46464595,0.027489388,0.52576745,0.44674322
-2.0,-0.24,0.44975135,0.46600416,0.027240505,0.52435446,0.44840506
-2.0,-0.2,0.45180014,0.4673576,0.026994482,0.5229443,0.45006123
-2.0,-0.16,0.45384127,0.46870637,0.026751254,0.5215368,0.45171192
-2.0,-0.12,0.45587483,0.4700504,0.026510794,0.5201322,0.45335704
-2.0,-0.08,0.4579007,0.4713897,0.026273066,0.5187304,0.45499656
-2.0,-0.04,0.4599191,0.47272426,0.026038053,0.5173314,0.45663047
-2.0,0.0,0.46192995,0.47405407,0.02580571,0.5159355,0.45825878
-2.0,0.04,0.4639335,0.4753793,0.02557596,0.5145424,0.45988166
-2.0,0.08,0.4659295,0.47669968,0.025348812,0.51315236,0.46149883
-2.0,0.12,0.46791816,0.4780154,0.025124237,0.51176536,0.46311042
-2.0,0.16,0.4698995,0.47932637,0.024902169,0.5103814,0.4647164
-2.0,0.2,0.47187346,0.48063254,0.024682617,0.5090006,0.46631676
-2.0,0.24,0.4738402,0.48193404,0.024465522,0.507623,0.4679115
-2.0,0.28,0.47579953,0.48323068,0.024250874,0.50624865,0.46950048
-2.0,0.32,0.4777518,0.4845226,0.024038618,0.50487745,0.4710839
-2.0,0.36,0.47969678,0.4858098,0.02382873,0.50350964,0.47266167
-2.0,0.4,0.48163453,0.4870922,0.023621194,0.5021452,0.4742337
-2.0,0.44,0.48356512,0.4883698,0.023415966,0.500784,0.47580004
-2.0,0.48,0.48548844,0.4896425,0.023213044,0.49942636,0.47736055
-2.0,0.52,0.4874047,0.49091053,0.02301237,0.49807218,0.47891545
-2.0,0.56,0.4893137,0.49217355,0.022813952,0.49672157,0.48046443
-2.0,0.6,0.4912155,0.49343175,0.022617746,0.49537465,0.48200765
-2.0,0.64,0.49311015,0.49468505,0.02242372,0.49403128,0.48354498
-2.0,0.68,0.49499753,0.49593335,0.022231882,0.49269176,0.48507637
-2.0,0.72,0.49687767,0.49717677,0.022042172,0.49135602,0.48660186
-2.0,0.76,0.49875045,0.49841502,0.021854604,0.4900242,0.4881212
-2.0,0.8,0.500616,0.4996483,0.021669127,0.48869628,0.4896346
-2.0,0.84,0.50247407,0.5008764,0.021485765,0.4873725,0.49114177
-2.0,0.88,0.5043247,0.5020993,0.021304468,0.48605287,0.4926427
-2.0,0.92,0.5061677,0.5033169,0.021125223,0.48473752,0.49413726
-2.0,0.96,0.50800306,0.5045292,0.02094803,0.4834266,0.4956254
-2.0,1.0,0.50983065,0.505736,0.020772858,0.48212013,0.49710703
-2.0,1.04,0.5116504,0.50693727,0.020599721,0.4808183,0.49858198
-2.0,1.08,0.51346207,0.50813293,0.02042857,0.4795213,0.5000501
-2.0,1.12,0.5152655,0.50932276,0.020259444,0.47822925,0.5015113
-2.0,1.16,0.5170606,0.5105067,0.020092294,0.4769424,0.5029653
-2.0,1.2,0.5188473,0.5116848,0.019927124,0.47566065,0.50441223
-2.0,1.24,0.52062505,0.51285654,0.01976394,0.47438455,0.50585157
-2.0,1.28,0.5223939,0.514022,0.01960274,0.473114,0.5072833
-2.0,1.32,0.5241536,0.51518095,0.01944351,0.47184932,0.5087071
-2.0,1.36,0.5259038,0.5163333,0.019286247,0.4705908,0.5101229
-2.0,1.4,0.5276444,0.5174789,0.019130955,0.46933854,0.5115305
-2.0,1.44,0.5293751,0.5186174,0.018977623,0.4680928,0.51292956
-2.0,1.48,0.5310956,0.5197488,0.018826254,0.46685374,0.51432
-2.0,1.52,0.5328056,0.52087283,0.01867685,0.4656217,0.5157015
