Seed,Architecture,Controller,Parameters,BestEpoch,BestValMSE,TestMSE,TestMAE,TestRMSE,MeanEpochTimeSec,Kappa,AlphaMin,AlphaMax,ContractionQBound,AlphaRule1,AlphaRule2,AlphaRule3
42,A: Fixed-alpha,fixed,3649,11,0.009650513231754303,0.009144488000869751,0.07421780014038086,0.0956268163271671,3.3197218916223696,0.9,0.02,1.0,0.998,,,
42,B: Learned Value-only alpha,value,3674,11,0.008234139204025269,0.007711983728408814,0.07002822895050048,0.08781790095651805,5.721878458338324,0.9,0.02,1.0,0.998,,,
42,C: Learned Value+Delta alpha,valuedelta,3682,12,0.008298694562911987,0.007771828269958496,0.0705156301498413,0.0881579733771058,5.177385983328956,0.9,0.02,1.0,0.998,,,
42,D: Fuzzy Value+Delta alpha,fuzzy,3678,12,0.007942217373847961,0.007427647030353546,0.06887286834716796,0.08618379795735127,8.037584674952086,0.9,0.02,1.0,0.998,0.0200104508548975,0.10804173350334167,0.9121784567832947
123,A: Fixed-alpha,fixed,3649,12,0.00911630253791809,0.008642376327514648,0.07249179954528809,0.09296438203696428,2.3826033500178405,0.9,0.02,1.0,0.998,,,
123,B: Learned Value-only alpha,value,3674,12,0.00815444462299347,0.007650773179531097,0.0697271650314331,0.08746869828419249,4.410355333297048,0.9,0.02,1.0,0.998,,,
123,C: Learned Value+Delta alpha,valuedelta,3682,12,0.008140250444412231,0.007645973670482636,0.06975642642974854,0.08744125839946859,4.167500950046815,0.9,0.02,1.0,0.998,,,
123,D: Fuzzy Value+Delta alpha,fuzzy,3678,12,0.008037932872772217,0.007533412337303162,0.06909620742797852,0.08679523222679436,6.6709477000016095,0.9,0.02,1.0,0.998,0.02001044899225235,0.1077490746974945,0.9117041826248169
456,A: Fixed-alpha,fixed,3649,12,0.009382664406299592,0.008861935341358184,0.07361155147552491,0.09413785286141906,2.179668916699787,0.9,0.02,1.0,0.998,,,
456,B: Learned Value-only alpha,value,3674,12,0.008186501955986024,0.007719824135303498,0.06988729057312011,0.08786252975702155,4.108334916682604,0.9,0.02,1.0,0.998,,,
456,C: Learned Value+Delta alpha,valuedelta,3682,12,0.008126744771003723,0.007618438684940338,0.06979236488342286,0.08728366791639967,3.9820175416146717,0.9,0.02,1.0,0.998,,,
456,D: Fuzzy Value+Delta alpha,fuzzy,3678,12,0.008105482077598572,0.007592438447475433,0.06970521087646485,0.08713459960013263,6.724749608295194,0.9,0.02,1.0,0.998,0.02001105807721615,0.11044633388519287,0.9118524789810181
