Seed,TrainSize,Architecture,Controller,Parameters,BestEpoch,BestValMSE,TestMSE,TestMAE,TestRMSE,MeanEpochTimeSec,Kappa,AlphaMin,AlphaMax,ContractionQBound,AlphaRule1,AlphaRule2,AlphaRule3
42,1000,A: Fixed-alpha,fixed,3649,12,0.17863539390563965,0.17787098960876466,0.31678134803771973,0.42174754250471297,0.5115464249975048,0.9,0.02,1.0,0.998,,,
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,12,0.01672110538482666,0.016184103369712828,0.09832693901062012,0.12721675742492744,0.9002253166593922,0.9,0.02,1.0,0.998,,,
42,1000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.027812776589393615,0.027191336727142332,0.11936821613311767,0.16489795852933514,2.704263208375778,0.9,0.02,1.0,0.998,0.020010381937026978,0.10616374015808105,0.9084666967391968
42,3000,A: Fixed-alpha,fixed,3649,12,0.01967645869255066,0.019383620047569276,0.10264831848144532,0.13922506975243099,1.2730656832767029,0.9,0.02,1.0,0.998,,,
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,12,0.010517290592193604,0.009919594860076904,0.07948216648101807,0.09959716291178632,1.6445726417199087,0.9,0.02,1.0,0.998,,,
42,3000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.01047011547088623,0.01004443962574005,0.07960239105224609,0.10022195181565788,4.257605858321767,0.9,0.02,1.0,0.998,0.020010408014059067,0.10735946893692017,0.9108139872550964
42,5000,A: Fixed-alpha,fixed,3649,12,0.011628206658363342,0.011104482102394104,0.0812097812652588,0.10537780649830449,2.635497750035332,0.9,0.02,1.0,0.998,,,
42,5000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,12,0.009311525678634644,0.008771492075920106,0.07495418128967285,0.09365624419076449,4.032529675013696,0.9,0.02,1.0,0.998,,,
42,5000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.009206677031517028,0.008790972650051116,0.07452535037994384,0.09376018691348219,7.066543275044144,0.9,0.02,1.0,0.998,0.02001042664051056,0.10767410695552826,0.9115848541259766
42,9000,A: Fixed-alpha,fixed,3649,12,0.0095673593044281,0.00902616480588913,0.07427281169891357,0.09500613035951486,4.158371758317419,0.9,0.02,1.0,0.998,,,
42,9000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,12,0.008271966648101807,0.007742560648918152,0.07033679161071778,0.08799182148880742,6.838881666655652,0.9,0.02,1.0,0.998,,,
42,9000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.008027276062965393,0.007529292047023773,0.06943509006500244,0.0867714932856625,11.843946824995024,0.9,0.02,1.0,0.998,0.020010439679026604,0.10808581113815308,0.9122283458709717
123,1000,A: Fixed-alpha,fixed,3649,12,0.15569557666778563,0.15620650300979613,0.28748496856689454,0.39522968386723706,0.7592785583110526,0.9,0.02,1.0,0.998,,,
123,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,12,0.022607925987243652,0.021830281162261964,0.10877281742095947,0.14775073997196075,1.2332946083430822,0.9,0.02,1.0,0.998,,,
123,1000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.0272835768699646,0.02738699631690979,0.1300024703979492,0.1654901698497823,2.2343905916786753,0.9,0.02,1.0,0.998,0.02001040242612362,0.10608536005020142,0.9081469178199768
123,3000,A: Fixed-alpha,fixed,3649,12,0.015194110178947449,0.014824428725242615,0.09090097942352295,0.12175561065200492,1.8818844083192137,0.9,0.02,1.0,0.998,,,
123,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,12,0.010930752277374268,0.01023960931301117,0.07960846004486084,0.10119095469957366,2.951701724998808,0.9,0.02,1.0,0.998,,,
123,3000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.010179741263389587,0.00985168354511261,0.07837161102294922,0.09925564742175938,3.431816599991483,0.9,0.02,1.0,0.998,0.020010439679026604,0.10735930502414703,0.9104114174842834
123,5000,A: Fixed-alpha,fixed,3649,12,0.011344767391681672,0.010795690989494323,0.08156351490020752,0.10390231464935862,2.220202100036355,0.9,0.02,1.0,0.998,,,
123,5000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,12,0.009367259287834167,0.008828838551044464,0.07484716529846192,0.09396189946486003,3.687080716675458,0.9,0.02,1.0,0.998,,,
123,5000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.0090061527967453,0.008573820877075195,0.07384532127380371,0.09259492900302475,5.909552283371643,0.9,0.02,1.0,0.998,0.020010454580187798,0.1076483428478241,0.9112118482589722
123,9000,A: Fixed-alpha,fixed,3649,12,0.009037601923942566,0.008558936762809754,0.07232916355133057,0.09251452190229248,4.4942981999871945,0.9,0.02,1.0,0.998,,,
123,9000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,11,0.008243694162368774,0.007750761914253235,0.0701536569595337,0.08803841158411047,7.346119416664199,0.9,0.02,1.0,0.998,,,
123,9000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.008063420724868774,0.007551676177978516,0.06936966495513916,0.08690038077004332,12.55427411662337,0.9,0.02,1.0,0.998,0.02001045271754265,0.10776877403259277,0.9115980863571167
