Model,Seed,step,max_abs_jacobian_difference,analytic_spectral_norm,autograd_spectral_norm,spectral_difference
C_fuzzy_contractive,42,0,1.862645149230957e-09,0.6848974227905273,0.6849029660224915,5.543231964111328e-06
C_fuzzy_contractive,42,434,5.960464477539063e-08,0.6399089694023132,0.6399078965187073,1.0728836059570312e-06
C_fuzzy_contractive,42,869,1.862645149230957e-09,0.6018981337547302,0.6018980145454407,1.1920928955078125e-07
C_fuzzy_contractive,42,1304,1.862645149230957e-09,0.6119893789291382,0.6119905710220337,1.1920928955078125e-06
C_fuzzy_contractive,42,1738,1.862645149230957e-09,0.7140500545501709,0.7140477895736694,2.2649765014648438e-06
C_fuzzy_contractive,42,2173,1.862645149230957e-09,0.6419750452041626,0.6419751048088074,5.960464477539063e-08
C_fuzzy_contractive,42,2608,5.960464477539063e-08,0.6278308033943176,0.6278332471847534,2.4437904357910156e-06
C_fuzzy_contractive,42,3043,1.862645149230957e-09,0.6562166810035706,0.6562144756317139,2.205371856689453e-06
C_fuzzy_contractive,42,3477,1.862645149230957e-09,0.6810898780822754,0.6810891032218933,7.748603820800781e-07
C_fuzzy_contractive,42,3912,1.862645149230957e-09,0.6594032645225525,0.6594052314758301,1.9669532775878906e-06
C_fuzzy_contractive,42,4347,1.862645149230957e-09,0.6493648290634155,0.6493639945983887,8.344650268554688e-07
C_fuzzy_contractive,42,4782,1.862645149230957e-09,0.71335768699646,0.7133549451828003,2.7418136596679688e-06
C_fuzzy_contractive,42,5216,1.862645149230957e-09,0.6558588147163391,0.6558584570884705,3.5762786865234375e-07
C_fuzzy_contractive,42,5651,1.862645149230957e-09,0.6133844256401062,0.6133837699890137,6.556510925292969e-07
C_fuzzy_contractive,42,6086,1.862645149230957e-09,0.5970540642738342,0.5970507264137268,3.337860107421875e-06
C_fuzzy_contractive,42,6521,1.862645149230957e-09,0.6664948463439941,0.6664925217628479,2.3245811462402344e-06
C_fuzzy_contractive,42,6955,1.862645149230957e-09,0.7029730677604675,0.7029709815979004,2.086162567138672e-06
C_fuzzy_contractive,42,7390,1.862645149230957e-09,0.64484041929245,0.6448414921760559,1.0728836059570312e-06
C_fuzzy_contractive,42,7825,5.960464477539063e-08,0.6870850920677185,0.687085747718811,6.556510925292969e-07
C_fuzzy_contractive,42,8260,1.862645149230957e-09,0.7044488191604614,0.7044426798820496,6.139278411865234e-06
C_fuzzy_contractive,42,8694,5.960464477539063e-08,0.703916609287262,0.7039127945899963,3.814697265625e-06
C_fuzzy_contractive,42,9129,1.862645149230957e-09,0.6595723628997803,0.6595723628997803,0.0
C_fuzzy_contractive,42,9564,1.862645149230957e-09,0.6641420125961304,0.6641416549682617,3.5762786865234375e-07
C_fuzzy_contractive,42,9999,1.862645149230957e-09,0.676351010799408,0.6763507127761841,2.980232238769531e-07
D_fuzzy_unconstrained,42,0,5.960464477539063e-08,1.131066918373108,1.1310704946517944,3.5762786865234375e-06
D_fuzzy_unconstrained,42,434,5.960464477539063e-08,1.0438783168792725,1.043876051902771,2.2649765014648438e-06
D_fuzzy_unconstrained,42,869,5.960464477539063e-08,1.0327454805374146,1.0327458381652832,3.5762786865234375e-07
D_fuzzy_unconstrained,42,1304,5.960464477539063e-08,1.0198113918304443,1.0198087692260742,2.6226043701171875e-06
D_fuzzy_unconstrained,42,1738,5.960464477539063e-08,1.0400474071502686,1.0400476455688477,2.384185791015625e-07
D_fuzzy_unconstrained,42,2173,5.960464477539063e-08,1.042708396911621,1.0427069664001465,1.430511474609375e-06
D_fuzzy_unconstrained,42,2608,5.960464477539063e-08,1.0385165214538574,1.0385229587554932,6.4373016357421875e-06
D_fuzzy_unconstrained,42,3043,1.4901161193847656e-08,1.0499491691589355,1.0499452352523804,3.933906555175781e-06
D_fuzzy_unconstrained,42,3477,5.960464477539063e-08,1.0376487970352173,1.0376464128494263,2.384185791015625e-06
D_fuzzy_unconstrained,42,3912,7.450580596923828e-09,1.0279666185379028,1.0279651880264282,1.430511474609375e-06
D_fuzzy_unconstrained,42,4347,5.960464477539063e-08,1.0446465015411377,1.0446488857269287,2.384185791015625e-06
D_fuzzy_unconstrained,42,4782,5.960464477539063e-08,1.0413119792938232,1.0413155555725098,3.5762786865234375e-06
D_fuzzy_unconstrained,42,5216,5.960464477539063e-08,1.0492810010910034,1.049280047416687,9.5367431640625e-07
D_fuzzy_unconstrained,42,5651,7.450580596923828e-09,1.0200135707855225,1.0200157165527344,2.1457672119140625e-06
D_fuzzy_unconstrained,42,6086,1.4901161193847656e-08,1.017543911933899,1.0175426006317139,1.3113021850585938e-06
D_fuzzy_unconstrained,42,6521,5.960464477539063e-08,1.05259370803833,1.0525941848754883,4.76837158203125e-07
D_fuzzy_unconstrained,42,6955,5.960464477539063e-08,1.0344879627227783,1.034487247467041,7.152557373046875e-07
