t,regime,prediction,target,abs_error,alpha_final
12064,1,-0.93610007,-0.7641853,0.17191476,0.1
12065,1,-0.6043805,-0.27512532,0.32925516,0.1
12066,1,-0.07102911,0.15765664,0.22868575,0.1
12067,1,0.39161897,0.57823366,0.18661469,0.1
12068,1,0.8265021,0.8908993,0.064397216,0.1
12069,1,1.1292031,1.1608394,0.031636357,0.1
12070,1,1.3754096,1.1450845,0.2303251,0.1
12071,1,1.313035,1.0815812,0.23145378,0.1
12072,1,1.2021835,1.0205343,0.18164921,0.1
12073,1,1.098532,0.8436431,0.25488883,0.1
12074,1,0.8682179,0.67315394,0.19506395,0.1
12075,1,0.64970386,0.56261444,0.08708942,0.1
12076,1,0.5065658,0.53914213,0.032576323,0.1
12077,1,0.4707855,0.46205774,0.008727759,0.1
12078,1,0.37501302,0.2813277,0.09368533,0.1
12079,1,0.16072859,0.10978427,0.05094432,0.1
12080,1,-0.037096202,-0.10355705,0.06646085,0.1
12081,1,-0.27819833,-0.25089154,0.027306795,0.1
12082,1,-0.43526584,-0.37952125,0.05574459,0.1
12083,1,-0.56612116,-0.4764596,0.08966157,0.1
12084,1,-0.6570094,-0.5700668,0.08694261,0.1
12085,1,-0.7422716,-0.764591,0.022319376,0.1
12086,1,-0.93993765,-0.9630713,0.023133636,0.1
12087,1,-1.1348698,-1.1464927,0.011622906,0.1
12088,1,-1.3061738,-1.33557,0.029396176,0.1
12089,1,-1.476814,-1.4156485,0.06116557,0.1
12090,1,-1.5285709,-1.5339428,0.005371928,0.1
12091,1,-1.6199987,-1.6500479,0.030049205,0.1
12092,1,-1.7074962,-1.714383,0.00688684,0.1
12093,1,-1.7419448,-1.9424682,0.20052338,0.1
12094,1,-1.9362562,-1.9995669,0.06331074,0.1
12095,1,-1.9597776,-2.0297008,0.06992316,0.1
12096,1,-1.9594419,-2.1108766,0.15143466,0.1
12097,1,-2.0102787,-2.2026665,0.19238782,0.1
12098,1,-2.0710268,-2.1641645,0.09313774,0.1
12099,1,-2.010194,-2.1058407,0.09564662,0.1
12100,1,-1.9348919,-2.0360804,0.10118842,0.1
12101,1,-1.8529112,-1.743909,0.10900223,0.1
12102,1,-1.5510819,-1.6210678,0.06998587,0.1
12103,1,-1.42698,-1.3828927,0.04408729,0.1
12104,1,-1.1823449,-1.0375737,0.14477122,0.1
12105,1,-0.8209354,-0.4774919,0.34344354,0.1
12106,1,-0.22267327,-0.08659683,0.13607644,0.1
12107,1,0.18555167,0.33131176,0.14576009,0.1
12108,1,0.61475617,0.6277416,0.012985408,0.1
12109,1,0.8994071,0.9163197,0.01691264,0.1
12110,1,1.1673324,0.93699765,0.23033476,0.1
12111,1,1.1406665,0.96684897,0.17381752,0.1
12112,1,1.1280007,0.99844974,0.129551,0.1
12113,1,1.1213171,0.83749384,0.2838233,0.1
12114,1,0.90249795,0.59484565,0.3076523,0.1
12115,1,0.5941628,0.5177038,0.07645905,0.1
12116,1,0.48451167,0.47745293,0.0070587397,0.1
