t,regime,prediction,target,abs_error,alpha_final
12064,1,-0.8684149,-0.7641853,0.10422957,0.44734982
12065,1,-0.5060099,-0.27512532,0.23088455,0.43961385
12066,1,0.11263079,0.15765664,0.045025848,0.43387204
12067,1,0.55537856,0.57823366,0.022855103,0.4139921
12068,1,0.9336443,0.8908993,0.042744994,0.39161247
12069,1,1.1555107,1.1608394,0.0053287745,0.36524808
12070,1,1.3326448,1.1450845,0.18756032,0.3430836
12071,1,1.2466948,1.0815812,0.16511357,0.32850033
12072,1,1.1332498,1.0205343,0.11271548,0.33042303
12073,1,1.0376203,0.8436431,0.19397718,0.33486935
12074,1,0.8228015,0.67315394,0.14964753,0.3400508
12075,1,0.61850095,0.56261444,0.055886507,0.35100043
12076,1,0.49529904,0.53914213,0.04384309,0.36104238
12077,1,0.48900902,0.46205774,0.026951283,0.36761957
12078,1,0.40811345,0.2813277,0.12678576,0.3686232
12079,1,0.18899822,0.10978427,0.079213955,0.37152836
12080,1,-0.011240296,-0.10355705,0.092316754,0.380051
12081,1,-0.2639564,-0.25089154,0.013064861,0.38656113
12082,1,-0.41305357,-0.37952125,0.03353232,0.39632758
12083,1,-0.53580886,-0.4764596,0.05934927,0.40229458
12084,1,-0.61589694,-0.5700668,0.04583013,0.40769875
12085,1,-0.69855165,-0.764591,0.066039324,0.41131496
12086,1,-0.92872614,-0.9630713,0.03434515,0.41310263
12087,1,-1.143291,-1.1464927,0.003201723,0.42072943
12088,1,-1.3201002,-1.33557,0.0154697895,0.42902553
12089,1,-1.4938829,-1.4156485,0.078234434,0.4369061
12090,1,-1.5163953,-1.5339428,0.017547488,0.4451855
12091,1,-1.6096746,-1.6500479,0.040373325,0.448758
12092,1,-1.7001481,-1.714383,0.0142349005,0.45407364
12093,1,-1.7247728,-1.9424682,0.21769536,0.4589816
12094,1,-1.9580858,-1.9995669,0.041481137,0.46363795
12095,1,-1.9513597,-2.0297008,0.07834101,0.47213474
12096,1,-1.9366343,-2.1108766,0.17424226,0.4743861
12097,1,-2.0013916,-2.2026665,0.20127487,0.47641477
12098,1,-2.07236,-2.1641645,0.091804504,0.4802652
12099,1,-1.9868516,-2.1058407,0.11898911,0.4824993
12100,1,-1.9084611,-2.0360804,0.12761927,0.48057806
12101,1,-1.8355025,-1.743909,0.091593504,0.47792235
12102,1,-1.4702775,-1.6210678,0.15079021,0.47356144
12103,1,-1.405863,-1.3828927,0.022970319,0.4622101
12104,1,-1.1501906,-1.0375737,0.1126169,0.45759076
12105,1,-0.7417165,-0.4774919,0.26422462,0.45037958
12106,1,-0.021976449,-0.08659683,0.06462038,0.44423988
12107,1,0.33660975,0.33131176,0.0052979887,0.4215728
12108,1,0.723935,0.6277416,0.09619343,0.40492815
12109,1,0.9346895,0.9163197,0.018369794,0.38142654
12110,1,1.144436,0.93699765,0.20743835,0.36210054
12111,1,1.0779114,0.96684897,0.11106241,0.34532613
12112,1,1.0512812,0.99844974,0.05283147,0.34379184
12113,1,1.0465155,0.83749384,0.20902163,0.34168354
12114,1,0.8401682,0.59484565,0.24532253,0.34138143
12115,1,0.5395711,0.5177038,0.021867335,0.35121253
12116,1,0.45678508,0.47745293,0.020667851,0.36558002
12117,1,0.4259051,0.28150147,0.14440364,0.3700213
12118,1,0.18560213,0.16605225,0.019549876,0.37058628
12119,1,0.06349274,0.029246284,0.034246452,0.38094303
12120,1,-0.087970704,-0.13989025,0.05191955,0.38566732
12121,1,-0.28242776,-0.22212914,0.06029862,0.39068156
12122,1,-0.34574595,-0.4785722,0.13282624,0.39906484
12123,1,-0.66424036,-0.6334598,0.030780554,0.39869693
12124,1,-0.815181,-0.8226777,0.007496655,0.41026786
12125,1,-1.0127006,-0.975074,0.037626565,0.41563907
12126,1,-1.1494899,-0.97987777,0.16961211,0.42353672
12127,1,-1.0800841,-1.1419518,0.061867714,0.43112767
12128,1,-1.2653109,-1.1899462,0.07536471,0.42985538
12129,1,-1.2748662,-1.3627882,0.08792198,0.43721902
12130,1,-1.4685155,-1.4414628,0.02705276,0.438828
12131,1,-1.5136693,-1.6191396,0.1054703,0.44635913
12132,1,-1.6946774,-1.7845166,0.08983922,0.45021525
12133,1,-1.8352832,-1.9185438,0.083260655,0.45838946
12134,1,-1.9260142,-1.8790488,0.04696536,0.46578324
12135,1,-1.8080192,-2.0071678,0.19914865,0.47007468
12136,1,-1.941864,-2.1384096,0.1965456,0.47011125
