t,regime,prediction,target,abs_error,alpha_final
12064,1,-0.8686668,-0.7641853,0.10448152,0.6730985
12065,1,-0.49871725,-0.27512532,0.22359192,0.6673994
12066,1,0.13775648,0.15765664,0.019900158,0.6515452
12067,1,0.56371844,0.57823366,0.014515221,0.614784
12068,1,0.9315289,0.8908993,0.040629625,0.58201236
12069,1,1.1457592,1.1608394,0.015080214,0.5547658
12070,1,1.3233354,1.1450845,0.17825091,0.53926295
12071,1,1.2160355,1.0815812,0.13445425,0.51295865
12072,1,1.0962318,1.0205343,0.07569754,0.511064
12073,1,1.0056945,0.8436431,0.16205138,0.5142166
12074,1,0.7930387,0.67315394,0.11988479,0.5130876
12075,1,0.59757864,0.56261444,0.034964204,0.5251255
12076,1,0.48783046,0.53914213,0.05131167,0.53878623
12077,1,0.4959879,0.46205774,0.033930153,0.54841006
12078,1,0.41649693,0.2813277,0.13516924,0.5496662
12079,1,0.18853112,0.10978427,0.07874685,0.55550873
12080,1,-0.014697537,-0.10355705,0.08885951,0.57099676
12081,1,-0.27439547,-0.25089154,0.02350393,0.58508176
12082,1,-0.4174217,-0.37952125,0.037900448,0.6020104
12083,1,-0.53688973,-0.4764596,0.06043014,0.61246073
12084,1,-0.61388874,-0.5700668,0.04382193,0.62115127
12085,1,-0.6983775,-0.764591,0.06621349,0.62658316
12086,1,-0.9448452,-0.9630713,0.018226087,0.62633693
12087,1,-1.1616331,-1.1464927,0.015140414,0.63182706
12088,1,-1.3335688,-1.33557,0.0020011663,0.6362518
12089,1,-1.5027653,-1.4156485,0.08711684,0.6368143
12090,1,-1.5174595,-1.5339428,0.016483307,0.6470865
12091,1,-1.6132045,-1.6500479,0.03684342,0.64296156
12092,1,-1.7045298,-1.714383,0.009853244,0.6421634
12093,1,-1.7294883,-1.9424682,0.21297991,0.6464956
12094,1,-1.9550484,-1.9995669,0.04451847,0.62648594
12095,1,-1.9504713,-2.0297008,0.079229474,0.64288574
12096,1,-1.9402628,-2.1108766,0.17061377,0.64505935
12097,1,-2.0053546,-2.2026665,0.19731188,0.6383258
12098,1,-2.0741117,-2.1641645,0.09005284,0.6353549
12099,1,-1.9965101,-2.1058407,0.109330535,0.64944243
12100,1,-1.9252673,-2.0360804,0.11081302,0.6524923
12101,1,-1.8577664,-1.743909,0.11385739,0.6548355
12102,1,-1.4893001,-1.6210678,0.13176763,0.6786331
12103,1,-1.4397804,-1.3828927,0.056887627,0.6649342
12104,1,-1.1751665,-1.0375737,0.13759279,0.6751394
12105,1,-0.7462084,-0.4774919,0.26871654,0.67871034
12106,1,0.0045495927,-0.08659683,0.091146424,0.6686406
12107,1,0.33697796,0.33131176,0.0056661963,0.6315197
12108,1,0.7162833,0.6277416,0.088541746,0.60000443
12109,1,0.91833556,0.9163197,0.002015829,0.5692626
12110,1,1.1312455,0.93699765,0.19424784,0.5514502
12111,1,1.0498853,0.96684897,0.0830363,0.526316
12112,1,1.0245333,0.99844974,0.026083529,0.5256084
12113,1,1.0263361,0.83749384,0.18884224,0.5241742
12114,1,0.81493556,0.59484565,0.22008991,0.5149663
12115,1,0.5136657,0.5177038,0.0040380955,0.5243748
12116,1,0.4491076,0.47745293,0.028345346,0.54526204
12117,1,0.43117923,0.28150147,0.14967775,0.5517168
12118,1,0.18289085,0.16605225,0.016838595,0.55415744
12119,1,0.06585054,0.029246284,0.036604255,0.5710689
12120,1,-0.086550206,-0.13989025,0.053340048,0.5808162
12121,1,-0.2867906,-0.22212914,0.06466147,0.591763
12122,1,-0.34138602,-0.4785722,0.13718617,0.6054798
12123,1,-0.6837099,-0.6334598,0.050250113,0.6074305
12124,1,-0.82691216,-0.8226777,0.004234493,0.62437314
12125,1,-1.026122,-0.975074,0.05104798,0.6288142
12126,1,-1.1583618,-0.97987777,0.17848402,0.63626367
12127,1,-1.0723096,-1.1419518,0.069642186,0.6494835
12128,1,-1.2755208,-1.1899462,0.08557463,0.63817096
12129,1,-1.2798505,-1.3627882,0.08293772,0.649121
12130,1,-1.4817107,-1.4414628,0.040247917,0.63836193
12131,1,-1.5218031,-1.6191396,0.09733641,0.6471672
12132,1,-1.7024695,-1.7845166,0.082047105,0.63645333
12133,1,-1.8375252,-1.9185438,0.08101857,0.6355554
12134,1,-1.9243314,-1.8790488,0.045282602,0.6365327
12135,1,-1.8100396,-2.0071678,0.19712818,0.6543887
12136,1,-1.9446898,-2.1384096,0.19371986,0.6355182
12137,1,-2.0518966,-2.1747358,0.12283921,0.63258505
12138,1,-2.0450935,-1.9661158,0.078977704,0.6416588
12139,1,-1.7582002,-1.8373867,0.07918656,0.6689333
12140,1,-1.6487268,-1.7637461,0.11501932,0.6633725
12141,1,-1.6185858,-1.4478066,0.17077923,0.65913177
12142,1,-1.2014433,-1.1839865,0.01745677,0.68149024
12143,1,-0.9358884,-0.8363062,0.099582195,0.67540425
12144,1,-0.5262197,-0.49820736,0.028012365,0.67296207
12145,1,-0.16959554,0.03145562,0.20105116,0.6564516
12146,1,0.4699353,0.3960462,0.07388911,0.6307626
12147,1,0.75882494,0.9038118,0.14498687,0.5912557
12148,1,1.2195605,1.0226142,0.19694626,0.5691987
12149,1,1.2027348,1.0328255,0.16990936,0.5311941
12150,1,1.1202518,1.0715547,0.048697114,0.52046406
12151,1,1.1113397,0.9604858,0.15085387,0.5213978
12152,1,0.95356,0.86534953,0.08821046,0.51252645
12153,1,0.83472025,0.7300811,0.10463917,0.5194597
12154,1,0.6766732,0.64144427,0.035228908,0.52438116
12155,1,0.5870718,0.5028007,0.08427107,0.5349049
12156,1,0.43009204,0.3411287,0.08896333,0.5409114
12157,1,0.24357487,0.06445012,0.17912474,0.5521158
12158,1,-0.10862599,0.0058238213,0.114449814,0.5657503
12159,1,-0.10855894,-0.13097301,0.022414073,0.5894853
12160,1,-0.2597674,-0.44787535,0.18810794,0.5938508
12161,1,-0.6849399,-0.57367074,0.111269176,0.6003846
12162,1,-0.76509917,-0.7308093,0.034289896,0.6239839
12163,1,-0.9175781,-0.85156196,0.06601614,0.6283626
12164,1,-1.0147504,-0.9320804,0.08266997,0.63582224
12165,1,-1.0611941,-1.0376313,0.023562789,0.64166546
12166,1,-1.1631114,-1.2281827,0.065071225,0.64175993
12167,1,-1.3824444,-1.3561608,0.026283622,0.6362957
12168,1,-1.4816765,-1.4662879,0.015388608,0.64260346
12169,1,-1.5600992,-1.5444959,0.015603304,0.64410514
12170,1,-1.6025873,-1.5681688,0.034418583,0.6467386
12171,1,-1.5847762,-1.5518789,0.032897234,0.6517667
12172,1,-1.5346543,-1.6393559,0.10470164,0.655614
12173,1,-1.646428,-1.722461,0.076032996,0.64506155
12174,1,-1.7262237,-1.8506247,0.12440097,0.64456326
12175,1,-1.8482628,-1.7932246,0.055038214,0.6382648
12176,1,-1.7248931,-1.8218849,0.09699178,0.65725344
12177,1,-1.7586843,-1.7104033,0.048280954,0.64858216
12178,1,-1.6007421,-1.5508047,0.049937367,0.6631877
12179,1,-1.408923,-1.4976175,0.08869445,0.6685453
12180,1,-1.4062529,-1.2824782,0.12377465,0.6592455
12181,1,-1.1256009,-0.967574,0.15802693,0.67266
12182,1,-0.7157941,-0.5602735,0.15552056,0.6747852
12183,1,-0.20236154,-0.11466437,0.08769717,0.664459
12184,1,0.29590303,0.35958752,0.06368449,0.63715416
12185,1,0.76491344,0.62129164,0.1436218,0.6015737
12186,1,0.91036546,0.9502425,0.039877057,0.56692004
12187,1,1.1714195,1.1056582,0.06576133,0.55314565
12188,1,1.2360142,1.1238023,0.11221194,0.5309526
12189,1,1.1818942,1.0972213,0.08467293,0.5171448
12190,1,1.1099414,0.946125,0.16381639,0.51395035
12191,1,0.917578,0.9616856,0.044107616,0.5094882
12192,1,0.94125664,0.84008604,0.1011706,0.52452767
12193,1,0.7985032,0.6829333,0.11556995,0.51850265
12194,1,0.61759084,0.51947814,0.0981127,0.52565044
12195,1,0.43290842,0.48698196,0.054073542,0.53736275
12196,1,0.43404162,0.31680804,0.117233574,0.5516535
12197,1,0.2264414,0.13646995,0.08997145,0.5534204
12198,1,0.011311963,-0.064268105,0.07558007,0.5679531
12199,1,-0.22735617,-0.2365593,0.009203136,0.58301085
12200,1,-0.4117706,-0.39171457,0.02005604,0.5988147
12201,1,-0.5678572,-0.6139731,0.046115875,0.6109566
12202,1,-0.8291429,-0.7529458,0.07619715,0.6175417
12203,1,-0.94033766,-0.8564805,0.08385718,0.63081986
12204,1,-1.010138,-1.0114317,0.0012936592,0.6374976
12205,1,-1.1736585,-1.1444345,0.029224038,0.6367927
12206,1,-1.2921027,-1.2548246,0.037278056,0.64087343
12207,1,-1.3774545,-1.4516288,0.074174285,0.64392227
12208,1,-1.5826731,-1.4839914,0.09868169,0.6358604
12209,1,-1.5428932,-1.6558868,0.1129936,0.65138817
12210,1,-1.7224473,-1.6759918,0.046455503,0.63661927
12211,1,-1.6829566,-1.7842588,0.101302266,0.65119284
12212,1,-1.7866443,-1.840738,0.05409372,0.6412591
12213,1,-1.8137174,-1.9521888,0.13847148,0.6455704
12214,1,-1.912729,-2.025422,0.11269307,0.6382301
12215,1,-1.9551827,-1.9442257,0.010957003,0.64077944
12216,1,-1.8188707,-1.931979,0.11310828,0.6574217
12217,1,-1.8135103,-1.9091315,0.09562123,0.65093356
12218,1,-1.7935191,-1.7953136,0.0017944574,0.6523264
